shot,time,ST_crash,tB,tCr,tE,freqB,freqE
25781,2.03865,+,-,-,-,1.6,-
25781,2.06875,-,-,-,-,1.6,-
25781,2.09345,+,-,-,-,1.8,-
25781,2.1098,-,-,-,-,1.5,-
25781,2.13005,-,-,-,-,1.5,-
25781,2.1712,-,-,-,-,1.7,-
25781,2.2176,-,-,-,-,1.1,0.56
25781,2.267,-,-,-,-,0.73,-
25781,2.290721,+,-,-,-,0.6,-
25781,2.334962,+,-,-,-,0.65,-
25781,2.382281,-,-,-,-,0.63,-
25781,2.446855,-,-,-,-,0.72,-
25781,2.46942,+,-,-,-,0.66,-
25781,2.491352,-,-,-,-,0.65,-
25781,2.52595,-,-,-,-,0.7,-
25781,2.525851,-,-,-,-,0.77,-
25781,2.563676,-,-,-,-,0.65,-
25781,2.586641,-,-,-,-,0.9,-
25781,2.608179,+,-,-,-,0.72,-
25781,2.651092,+,-,-,-,1.0,-
25781,2.672658,+,-,-,-,0.72,-
25781,2.69367,-,-,-,-,0.657,-
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
